"machinepin","dealeraccountnumber","recommendationid","feedbackcategory"
"1DW624KZJFF669312","179219",2327,"Visible"
"1DW624KZJEF665503","179220",2327,"Visible"
"1T0310SLKJD334555","282586",2538,"Visible"
"1NWC570HCMT210282","201240",1959,"Visible"
"1NWC570HLHT170240","201012",1959,"Visible"
"1T0750LXCLF387931","178511",2276,"Visible"
"1FF210GXAED522364","282620",1476,"Visible"
"1NWC570HJMT210272","201240",1959,"Visible"
"1L06215RVJR913729","310662",1692,"Visible"
"1H0S680SPE0766627","080142",1833,"Visible"
"1DW624KZVHF679733","175957",2327,"Visible"
"1T0410LXLHF310249","177958",1726,"Visible"
"1DW624KHCEF659810","177735",2327,"Visible"
"1NWC570HKLT210026","201224",1959,"Visible"
"1DW644KZHKF701008","179219",2327,"Visible"
"1BM7200JCKH001337","201104",2054,"Visible"
"1FF210GXAED522364","282620",1476,"Visible"
"1DW624LZELF708399","177420",2552,"Visible"
"1BM8345RCLS100560","201245",1025,"Visible"
"1DW624LHPLF708267","766516",2552,"Visible"
"1DW624PACMLZ10636","177414",2552,"Visible"
"1DW624LHAMF709072","178713",2552,"Visible"
"1DW644LZLLL707858","177633",2554,"Visible"
"1DW624PACMLZ10636","177414",2552,"Visible"
"1RW7230RVFC086176","089486",1706,"Visible"
"1RW9420RCKP064007","046999",2108,"Visible"
"1RW9520RCGP052685","073149",1401,"Visible"
"1RW8370RAHS118501","48HR10",1912,"Visible"
"1RW8370RAHS118501","48HR10",1174,"Visible"
"1DW544LZHKF701570","175943",1361,"Visible"
"1L06250RVJR920887","27D028",2275,"Visible"
"1DW624KHVFF673032","179222",2327,"Visible"
"1T0850LXVKF367819","178511",2287,"Visible"
"1RW9520RKMP811190","049459",1916,"Visible"
"1Z0S680AEHC106189","482GZ0",1537,"Visible"
"1DW944KXLML703615","175445",1853,"Visible"
"1NWC670HAMT210015","201168",1959,"Visible"
"1RW7210SPLD120110","068873",3132,"Visible"
"1T0310KXPEE256442","178537",1852,"Visible"
"1T0310SLAFF284788","179019",1374,"Visible"
"1RW7210RAFS085914","4P0300",1852,"Visible"
"1RW7290SLLD110524","27K749",3132,"Visible"
"1DW644KZHKF701008","179219",2327,"Visible"
"1DW624KZKGF677345","178823",2327,"Visible"
"1Z0T670AHDL091880","482570",1952,"Visible"
"1FF210GXLDE521788","178621",1852,"Visible"
"1RW7230SJLD111079","089796",3132,"Visible"
"1FF300GXHKF731422","765343",1461,"Visible"
"1DW310EXJJF693143","175908",2277,"Visible"
"1DW644KZCED663573","177166",1361,"Visible"
"1L06215RVJR913729","310662",1692,"Visible"
"1BZ310LAAKC002602","282291",2538,"Visible"
"1T0310SKHEE255614","177166",1852,"Visible"
"1H0S790STKT805499","731850",2339,"Visible"
"1L06175MTJK908851","323002",1833,"Visible"
"1H0S680SLE0767463","089809",2339,"Visible"
"1L06175RKKN936857","4P0460",1655,"Visible"
"1T0700KXHJF334964","178275",2161,"Visible"
"1RW8335RJEP083244","482CV1",1651,"Visible"
"1DW624KZVHF679733","175957",2327,"Visible"
"1DW544KZCJF689074","170469",1655,"Visible"
"1DW748LXAJF690256","177104",1655,"Visible"
"1DW310EXJJF693143","175908",2277,"Visible"
"1T0310SKEEE270311","177476",2138,"Visible"
"1RW8285RTBP043561","040261",1921,"Visible"
"1RW7210RAFS085914","4P0300",1852,"Visible"
"1DW544KZCCE647092","170469",1852,"Visible"
"1T0310SKEFE275736","177102",1852,"Visible"
"1FF210GXLJF526639","179051",1834,"Visible"
"1L06155RAHP877378","4P0300",1692,"Visible"
"1L06155RHHR882331","311200",1692,"Visible"
"1DW644LZLLL707858","177633",2554,"Visible"
"1RW6155RHJD033343","034678",1692,"Visible"
"1L06215RVJR913729","310662",1692,"Visible"
"1DW544KZCCE647092","170469",1852,"Visible"
"1FF350GXLKF813778","177414",2075,"Visible"
"1RW7230SJLD111079","089796",1142,"Visible"
"1FF350GXLKF813778","177414",2075,"Visible"
"1RW8335RCCP060772","201104",1651,"Visible"
"1L06155RAHP877378","4P0300",1692,"Visible"
"1DW748LXAJF690256","177104",1655,"Visible"
"1H0X911XVME815105","039988",2024,"Visible"
"1RW8335RJEP083244","482CV1",1651,"Visible"
"1RW8410DLLB180666","311098",2109,"Visible"
"1T0310SLKJD334555","282586",2538,"Visible"
"1T0310SKHEE255614","177166",1852,"Visible"
"1RW8335RJEP083244","482CV1",1651,"Visible"
"1DW624KZVHF679733","175957",2327,"Visible"
"1FF210GXAED522364","282620",1476,"Visible"
"1T0333GKCKF347819","050788",1730,"Visible"
"1NWC570HEKT190305","2L1573",1959,"Visible"
"1RW8360RKED083575","039988",1920,"Visible"
"1DW624KZJEF665503","179220",2327,"Visible"
"1RW8310RLEP085433","088569",1174,"Visible"
"1RW7210RCED082396","731091",1919,"Visible"
"1H0S670SPE0775001","063368",2204,"Visible"
"1H0X911XLME815169","731811",2024,"Visible"
"1DW644KZHKF701008","179219",2327,"Visible"
"1RW6155RHJD033343","034678",1692,"Visible"
"1RW8370RTFD914223","311079",1159,"Visible"
"1L06155RAHP877378","4P0300",1692,"Visible"
"1L06215RVJR913729","310662",1692,"Visible"
"1RW9420RJGP052405","066677",1895,"Visible"
"1CQS550AJK0130332","201058",2186,"Visible"
"1DW624LZELF708399","177420",2552,"Visible"
"1RW7230SHMD120700","035998",3132,"Visible"
"1H0X910XVME815073","039988",2024,"Visible"
"1NWC570HPLT210039","201151",1959,"Visible"
"1H0X911XKMB815179","069859",2018,"Visible"
"1T0700LXELF386422","178665",2276,"Visible"
"1LV5115MEJJ501148","230527",2530,"Visible"
"1L06250RCHR891786","310492",2238,"Visible"
"1DW624PACMLZ10636","177414",2552,"Visible"
"1DW624KZKGF677345","178823",2327,"Visible"
"1RW7230SHLD111087","089796",3132,"Visible"
"1RW8335RVCP057405","201117",1174,"Visible"
"1H0X911XTME815176","731368",2024,"Visible"
"1CQS440ALK0125358","201025",1873,"Visible"
"1H0X910XAMB815092","088975",2024,"Visible"
"1DW624KZCFF671384","178934",2327,"Visible"
"1T0310SLCGF293778","179454",1374,"Visible"
"1DW624KZVHF679733","175957",2327,"Visible"
"1T0750LXCLF387931","178511",2276,"Visible"
"1DW310EXJJF693143","175908",2277,"Visible"
"1RW8320RJHS118769","22N366",2262,"Visible"
"1RW8370DJMB182855","22E467",2262,"Visible"
"1DW624KZPGF678025","177418",2327,"Visible"
"1T0950KPJJF344395","177423",2067,"Visible"
"1T0310SLKJD334555","282586",2538,"Visible"
"1T0333GKCKF347819","050788",1730,"Visible"
"1RW8245RJJP140643","073679",1912,"Visible"
"1NWC570HKMT210075","201224",1959,"Visible"
"1DW624KZJEF665503","179220",2327,"Visible"
"1T0850LXJKF358535","177419",2276,"Visible"
"1RW7200RTCD010213","221030",1655,"Visible"
"1RW8410DTMB181081","482FF0",2262,"Visible"
"1RW8410DLMB181026","482FF0",2262,"Visible"
"1T0310SLAJD340149","765398",2538,"Visible"
"1H0S780SKLT811690","063848",2181,"Visible"
"1H0X910XAME815088","089003",2024,"Visible"
"1T8C570HCLT200089","010102",2067,"Visible"
"1RW7350SPLD120015","310524",3132,"Visible"
"1DW544KZCJF689074","170469",1655,"Visible"
"1DW410ETLEE664731","177480",1352,"Visible"
"1T0850LXVKF367819","178511",2287,"Visible"
"1DW748LXAJF690256","177104",1655,"Visible"
"1DW644KZHKF701008","179219",2327,"Visible"
"1DW624KZPGF678025","177418",2327,"Visible"
"1T0700KXHJF334964","178275",2161,"Visible"
"1RW7250RTGS092135","32D002",1833,"Visible"
"1DW544KZCCE647092","170469",1852,"Visible"
"1RW7210RAFS085914","4P0300",1852,"Visible"
"1DW544KZADE652765","175957",2138,"Visible"
"1FF210GXLJF526639","179051",1834,"Visible"
"1DW624KHVFF673032","179222",2327,"Visible"
"1DW544LZPKF696327","177493",1706,"Visible"
"1FF300GXHKF731422","765343",1461,"Visible"
"1T0850LXVKF367819","178511",2287,"Visible"
"1H0X911XVMB815123","088286",2024,"Visible"
"1T0950KPJJF344395","177423",2067,"Visible"
"1RW7210RCJD103086","070159",1706,"Visible"
"1DW744KXCED658447","177166",1361,"Visible"
"1DW624KZCFF671384","178934",2327,"Visible"
"1FF160GXEKF057764","170501",1706,"Visible"
"1H0S770SAM0815676","089578",2204,"Visible"
"1DW624KZKGF677345","178823",2327,"Visible"
"1RW8295RKHD118374","040976",2262,"Visible"
"1BZ524KAKMD002704","201330",1361,"Visible"
"1RW8340DPMB183726","482050",2262,"Visible"
"1NWC670HTGT160180","201168",2184,"Visible"
"1RW7210RCJD101533","037237",1706,"Visible"
"1FF180GXTKF021120","177166",1706,"Visible"
"1DW644LZCML708725","177637",1706,"Visible"
"1RW7210RCKD105056","013896",1706,"Visible"
"1DW624KZVHF679733","175957",2327,"Visible"
"1Z0T660ATHP110392","482B50",2566,"Visible"
"1H0S680SAF0785218","063969",1368,"Visible"
"1L06215RKGP853838","221147",1655,"Visible"
"1DW544KZLCE649283","179141",1142,"Visible"
"1DW772GXPKF700499","170584",1142,"Visible"
"1DW544KZPEE665865","178840",1142,"Visible"
"1RW8320RKFP102134","482570",1142,"Visible"
"1DW544KZPEE659211","170337",1142,"Visible"
"1L06155RAHP877378","4P0300",1692,"Visible"
"1DW748LXAJF690256","177104",1655,"Visible"
"1RW8335RJEP083244","482CV1",1651,"Visible"
"1RW7230RJDA012441","410227",1142,"Visible"
"1RW7215RHDC013159","089804",1655,"Visible"
"1DW624LHPLF708267","766516",2552,"Visible"
"1RW8335RJDP081640","482GQ0",1651,"Visible"
"1RW8335RJEP083244","482CV1",1651,"Visible"
"1RW6155RHJD033343","034678",1692,"Visible"
"1DW624KZPGF678025","177418",2327,"Visible"
"1T0410LXEKF348753","173873",2538,"Visible"
"1RW7210RAFS085914","4P0300",1852,"Visible"
"1L06175RKGR850965","48272A",1399,"Visible"
"1T0750KXAEE268328","177166",1655,"Visible"
"1DW544KZCCE647092","170469",1852,"Visible"
"1T0650KXKEE268867","179771",1852,"Visible"
"1L06155RAHP877378","4P0300",1692,"Visible"
"1RW6155RHJD033343","034678",1692,"Visible"
"1L06215RVJR913729","310662",1692,"Visible"
"1RW7290SELD111305","221239",3132,"Visible"
"1RW9520RJKP064107","087826",1350,"Visible"
"1T0700KXHJF334964","178275",2161,"Visible"
"1DW624KZVHF679733","175957",2327,"Visible"
"1RW7250SCMD121182","088537",3132,"Visible"
"1RW7290SCMD120791","731823",3132,"Visible"
"1T0310SLKFF282680","178955",1374,"Visible"
"1DW410ETLEE664731","177480",1352,"Visible"
"1RW7210SPLD111102","234040",3132,"Visible"
"1DW624KZKJF687591","178812",2327,"Visible"
"1FF350GXLKF813778","177414",2075,"Visible"
"1T8C570HCLT200089","010102",2067,"Visible"
"1H0X911XKMB815179","069859",2024,"Visible"
"1DW644KZTJF691051","170335",1463,"Visible"
"1DW544KZCJF689074","170469",1655,"Visible"
"1DW624KZJFF669312","179219",2327,"Visible"
"1FF210GXLJF526639","179051",1834,"Visible"
"1DW644LZLLL707858","177633",1706,"Visible"
"1DW624KZCFF671384","178934",2327,"Visible"
"1DW624KHVFF673032","179222",2327,"Visible"
"1L06250RCHR891786","310492",1142,"Visible"
"1L06195RPKR929247","270046",1692,"Visible"
"1RW8335RJEP083244","482CV1",1651,"Visible"
"1DW748LXAJF690256","177104",1851,"Visible"
"1RW6155RHJD033343","034678",1692,"Visible"
"1L06175RKGR850965","48272A",1399,"Visible"
"1DW848LBHLF703540","178329",2075,"Visible"
"1L06215RVJR913729","311171",1692,"Visible"
"1L06155RAHP877378","4P0300",1692,"Visible"
"1DW744KXLHF684379","178711",2075,"Visible"
"1RW8410DPLF924198","072689",2109,"Visible"
"1H0X911XCME815161","731519",2024,"Visible"
"1RW7230SCLD110869","072689",3132,"Visible"
"1FF160GXPHF056840","179760",2067,"Visible"
"1H0X911XEMB815175","069859",2024,"Visible"
"1NWC570HLMT210293","2L1573",1959,"Visible"
"1H0S780SCMT815789","089955",1751,"Visible"
"1T0700KXHJF334964","178275",2161,"Visible"
"1RW7215RHDC013159","089804",1655,"Visible"
"1RW6175RTGD024814","083430",1833,"Visible"
"1T0750KXAEE268328","177166",1833,"Visible"
"1DW624LHAMF709072","178713",2100,"Visible"
"1RW8270RTKP151907","078602",2159,"Visible"
"1RW7210RAFS085914","4P0300",1852,"Visible"
"1RW8335RCCP060772","201104",1651,"Visible"
"1RW8335RJEP083244","482CV1",1651,"Visible"
"1L06155RAHP877378","4P0300",1692,"Visible"
"1L06130RCLR980069","310524",2109,"Visible"
"1DW624KZVHF679733","175957",2327,"Visible"
"1NWC670HKKT200012","201168",1959,"Visible"
"1RW6155RHJD033343","034678",1692,"Visible"
"1L06195RPKR929247","270046",1692,"Visible"
"1H0S690SAG0785209","089126",1458,"Visible"
"1FF160GXPHF056840","179760",2067,"Visible"
"1DW624KHVFF673032","179222",2327,"Visible"
"1DW624KZCFF671384","178934",2327,"Visible"
"1RW9510RJDP903105","086858",1167,"Visible"
"1T0310SLCGF293778","179454",1374,"Visible"
"1T0950KPJJF344395","177423",2067,"Visible"
"1RW7210SVMD121068","083608",3132,"Visible"
"1DW624KZKGF677345","178823",2327,"Visible"
"1T0750LXCLF387931","178511",2276,"Visible"
